SKU_ID,SKU_Name,Category,ABC_Class,Supplier_ID,Supplier_Name,Warehouse_ID,Warehouse_Location,Batch_ID,Received_Date,Last_Purchase_Date,Expiry_Date,Stock_Age_Days,Quantity_On_Hand,Quantity_Reserved,Quantity_Committed,Damaged_Qty,Returns_Qty,Avg_Daily_Sales,Forecast_Next_30d,Days_of_Inventory,Reorder_Point,Safety_Stock,Lead_Time_Days,Unit_Cost_USD,Last_Purchase_Price_USD,Total_Inventory_Value_USD,SKU_Churn_Rate,Order_Frequency_per_month,Supplier_OnTime_Pct,FIFO_FEFO,Inventory_Status,Count_Variance,Audit_Date,Audit_Variance_Pct,Demand_Forecast_Accuracy_Pct,Notes,ATP,Oversold_Flag,Below_Safety_Stock_Flag,Reorder_Flag,Sellable_ATP,Sellable_Coverage_Days,Expired_Flag,Expiry_30_Days_Flag,Dead_Stock_Flag
SKU0033,Pantry Product 136,Pantry,C,S009,PT Beverage Nusantara,WHMDN,Medan - Deli Serdang,BATCH2512,2025-07-07,2025-05-28,2026-10-19,64,72,13,21,1,3,5.96,151.0,12.08,23,11,2,4.09,3.87,294.57,2.48,3.0,74.55,FEFO,In Stock,4,2025-08-05,-3.53,64.36,Promotional item,38,0,0,0,38,6.38,0,0,0
SKU0034,Beverages Product 327,Beverages,A,S005,PT Agro Raya,WHBDG,Bandung - Rancaekek,BATCH8007,2025-05-19,2025-04-14,2029-06-21,113,509,86,48,3,1,54.19,1.242,9.39,407,136,5,3.95,3.67,2012.03,3.19,22.0,97.52,FIFO,In Stock,2,2025-08-26,-0.54,92.33,High return rate,375,0,0,1,375,6.92,0,0,0
SKU0035,Pantry Product 428,Pantry,B,S006,PT Frozen Express,WHDPS,Denpasar - Tabanan,BATCH8041,2025-04-21,2025-04-13,2027-02-18,141,88,12,14,1,3,6.95,191.0,12.66,76,27,7,14.87,13.99,1308.27,2.37,4.0,83.65,FIFO,In Stock,1,2025-08-01,6.29,93.33,,62,0,0,1,62,8.92,0,0,0
SKU0036,Personal Product 498,Personal Care,C,S001,PT Segar Makmur,WHSBY,Surabaya - Sidoarjo,BATCH5088,2025-07-18,2025-06-06,2030-05-14,53,69,38,23,3,0,18.94,647.0,3.64,122,46,4,7.74,7.41,534.34,8.23,11.0,91.06,FIFO,Low Stock,2,2025-07-26,0.86,86.36,,8,0,1,1,8,0.42,0,0,0
SKU0037,Personal Product 209,Personal Care,A,S010,PT DailyDairy,WHBDG,Bandung - Rancaekek,BATCH3900,2025-07-11,2025-05-16,2027-06-08,60,197,20,13,2,1,19.11,622.0,10.31,122,46,4,12.5,11.72,2462.76,2.91,8.0,97.94,FEFO,In Stock,-6,2025-09-06,-5.41,86.37,,164,0,0,0,164,8.58,0,0,0
SKU0038,Personal Product 401,Personal Care,B,S007,PT Bakerindo,WHBDG,Bandung - Rancaekek,BATCH2771,2025-07-03,2025-06-09,2027-05-25,68,298,32,24,0,2,15.07,335.0,19.77,121,46,5,4.09,3.7,1218.16,1.52,5.0,74.88,FIFO,In Stock,2,2025-07-11,3.03,62.94,,242,0,0,0,242,16.06,0,0,0
SKU0039,Household Product 236,Household,C,S006,PT Frozen Express,WHSBY,Surabaya - Sidoarjo,BATCH1387,2025-07-13,2025-06-01,2027-10-12,58,85,15,34,2,2,16.91,635.0,5.03,81,30,3,4.13,4.07,351.33,5.97,6.0,75.2,FIFO,In Stock,-4,2025-07-20,6.06,73.16,,36,0,0,1,36,2.13,0,0,0
SKU0040,Household Product 496,Household,B,S005,PT Agro Raya,WHSBY,Surabaya - Sidoarjo,BATCH7548,2025-03-29,2025-02-14,2029-02-04,164,81,24,30,5,1,8.96,327.0,9.04,18,9,1,10.22,10.51,827.67,3.32,3.0,81.72,FEFO,In Stock,3,2025-09-06,9.51,80.33,Promotional item,27,0,0,0,27,3.01,0,0,0
SKU0041,Dairy Product 493,Dairy,B,S005,PT Agro Raya,WHJKT,Jakarta - Cengkareng,BATCH8119,2025-08-13,2025-07-22,2025-09-08,27,398,6,3,3,3,48.59,1.406,8.19,513,173,7,2.17,1.98,861.95,3.66,18.0,75.37,FEFO,Low Stock,4,2025-07-16,5.51,75.23,,389,0,0,1,389,8.01,1,0,0
SKU0042,Frozen Product 198,Frozen,B,S010,PT DailyDairy,WHBDG,Bandung - Rancaekek,BATCH8144,2025-07-06,2025-07-06,2026-01-13,65,207,57,18,2,1,47.41,1.163,4.37,73,26,1,7.03,7.85,1455.73,6.87,18.0,86.8,FIFO,In Stock,5,2025-07-25,-1.84,79.21,,132,0,0,0,132,2.78,0,0,0
SKU0043,Personal Product 472,Personal Care,A,S006,PT Frozen Express,WHDPS,Denpasar - Tabanan,BATCH3041,2025-06-21,2025-05-06,2030-03-10,80,193,37,21,2,0,14.36,324.0,13.44,155,54,7,22.22,25.24,4288.52,2.23,9.0,94.34,FEFO,In Stock,0,2025-07-07,-7.18,84.06,,135,0,0,1,135,9.4,0,0,0
SKU0044,Bakery Product 207,Bakery,C,S005,PT Agro Raya,WHDPS,Denpasar - Tabanan,BATCH7888,2025-08-08,2025-06-27,2025-08-11,32,42,15,4,2,0,5.29,187.0,7.94,59,22,7,1.77,2.01,74.37,3.78,1.0,77.93,FEFO,Low Stock,3,2025-06-15,5.27,76.16,,23,0,0,1,23,4.35,1,0,0
SKU0045,Dairy Product 292,Dairy,C,S005,PT Agro Raya,WHMDN,Medan - Deli Serdang,BATCH5978,2025-04-22,2025-04-04,2025-04-29,140,293,61,8,2,1,39.11,1.211,7.49,123,45,2,2.53,2.86,742.23,4.0,18.0,70.32,FIFO,Expiring Soon,0,2025-07-16,-7.64,84.75,,224,0,0,0,224,5.73,1,0,0
SKU0046,Pantry Product 165,Pantry,C,S008,PT Hygienic Supplies,WHMDN,Medan - Deli Serdang,BATCH4501,2025-05-19,2025-04-17,2030-03-02,113,298,80,85,0,0,27.1,650.0,11.0,82,28,2,2.31,2.32,689.04,2.73,8.0,86.71,FEFO,In Stock,3,2025-08-19,-2.34,88.05,,133,0,0,0,133,4.91,0,0,0
SKU0047,Meat Product 340,Meat,B,S010,PT DailyDairy,WHSBY,Surabaya - Sidoarjo,BATCH6085,2025-08-17,2025-08-03,2025-08-29,23,282,59,57,2,1,27.22,774.0,10.36,43,16,1,6.5,6.86,1832.58,2.9,5.0,98.55,FIFO,Expiring Soon,-4,2025-08-22,-0.52,86.79,High return rate,166,0,0,0,166,6.1,1,0,0
SKU0048,Personal Product 313,Personal Care,C,S002,PT Indo Fresh,WHMDN,Medan - Deli Serdang,BATCH4185,2025-05-26,2025-04-11,2029-12-05,106,48,4,5,2,1,3.47,113.0,13.83,13,10,1,0.43,0.47,20.63,2.17,4.0,89.76,FEFO,In Stock,5,2025-07-08,2.78,97.26,,39,0,0,0,39,11.24,0,0,0
SKU0049,Dairy Product 353,Dairy,C,S001,PT Segar Makmur,WHJKT,Jakarta - Cengkareng,BATCH3881,2025-05-24,2025-04-03,2025-06-07,108,80,62,18,2,0,36.53,1.322,2.19,118,45,2,0.94,1.08,75.3,13.7,17.0,87.59,FEFO,Low Stock,-1,2025-09-03,8.89,72.13,,0,0,1,1,0,0.0,1,0,0
SKU0050,Personal Product 63,Personal Care,C,S008,PT Hygienic Supplies,WHBDG,Bandung - Rancaekek,BATCH9702,2025-05-14,2025-04-09,2030-02-09,118,42,5,10,2,1,3.89,144.0,10.8,14,10,1,5.98,6.19,251.21,2.78,1.0,70.72,FEFO,In Stock,-2,2025-07-15,5.81,83.4,,27,0,0,0,27,6.94,0,0,0
SKU0051,Beverages Product 259,Beverages,C,S007,PT Bakerindo,WHDPS,Denpasar - Tabanan,BATCH8777,2025-05-18,2025-04-20,2027-04-08,114,42,12,4,1,0,4.08,110.0,10.29,27,15,3,6.99,7.3,293.45,2.91,2.0,83.79,FEFO,In Stock,4,2025-08-09,-4.57,79.86,,26,0,0,1,26,6.37,0,0,0
SKU0052,Meat Product 399,Meat,B,S009,PT Beverage Nusantara,WHMDN,Medan - Deli Serdang,BATCH5499,2025-04-02,2025-03-05,2025-04-14,160,435,124,67,1,1,34.41,1.331,12.64,52,18,1,4.62,4.61,2009.05,2.37,13.0,99.18,FIFO,Expiring Soon,0,2025-08-04,-7.51,93.6,,244,0,0,0,244,7.09,1,0,0
SKU0053,Seafood Product 458,Seafood,C,S009,PT Beverage Nusantara,WHJKT,Jakarta - Cengkareng,BATCH4788,2025-08-05,2025-07-12,2025-08-10,35,41,4,6,1,2,2.88,72.0,14.24,6,3,1,11.66,11.62,478.21,2.11,2.0,77.68,FIFO,Expiring Soon,-1,2025-06-11,-9.27,79.69,,31,0,0,0,31,10.76,1,0,0
SKU0054,Bakery Product 170,Bakery,B,S009,PT Beverage Nusantara,WHMDN,Medan - Deli Serdang,BATCH4388,2025-05-26,2025-04-03,2025-05-28,106,680,47,26,0,0,35.91,1.356,18.94,117,45,2,2.3,2.1,1566.31,1.58,11.0,70.15,FEFO,Expiring Soon,-2,2025-07-22,7.04,87.94,,607,0,0,0,607,16.9,1,0,0
SKU0055,Pantry Product 357,Pantry,C,S001,PT Segar Makmur,WHDPS,Denpasar - Tabanan,BATCH1096,2025-06-04,2025-04-05,2029-02-04,97,29,4,3,2,1,2.41,89.0,12.03,39,15,10,10.53,10.39,305.28,2.49,4.0,94.69,FEFO,Low Stock,3,2025-08-02,3.56,90.3,,22,0,0,1,22,9.13,0,0,0
SKU0056,Household Product 489,Household,A,S007,PT Bakerindo,WHDPS,Denpasar - Tabanan,BATCH4613,2025-04-23,2025-03-23,2029-09-09,139,216,36,18,0,2,13.92,294.0,15.52,70,28,3,14.1,13.26,3045.75,1.93,8.0,92.45,FIFO,In Stock,0,2025-08-06,6.36,70.91,,162,0,0,0,162,11.64,0,0,0
SKU0057,Fresh Product 173,Fresh Produce,B,S007,PT Bakerindo,WHBDG,Bandung - Rancaekek,BATCH9751,2025-05-13,2025-05-12,2025-05-18,119,1,43,129,0,0,77.22,1.725,14.83,117,40,1,1.49,1.63,1706.97,2.02,26.0,87.53,FEFO,Expiring Soon,1,2025-06-26,4.17,92.39,,-171,1,1,1,0,0.0,1,0,0
SKU0058,Fresh Product 330,Fresh Produce,C,S007,PT Bakerindo,WHBDG,Bandung - Rancaekek,BATCH1823,2025-05-14,2025-04-28,2025-05-19,118,81,31,9,2,2,9.92,238.0,8.17,17,7,1,1.14,1.11,92.66,3.67,3.0,90.07,FEFO,Expiring Soon,2,2025-07-30,9.94,90.2,,41,0,0,0,41,4.13,1,0,0
SKU0059,Seafood Product 390,Seafood,B,S007,PT Bakerindo,WHSBY,Surabaya - Sidoarjo,BATCH2341,2025-05-25,2025-04-25,2025-06-01,107,112,16,29,2,0,8.92,307.0,12.56,49,22,3,10.51,10.62,1176.96,2.39,6.0,76.01,FIFO,Expiring Soon,-3,2025-07-02,-3.76,67.61,Promotional item,67,0,0,0,67,7.51,1,0,0
SKU0060,Meat Product 36,Meat,C,S001,PT Segar Makmur,WHJKT,Jakarta - Cengkareng,BATCH1333,2025-07-08,2025-05-30,2025-07-19,63,129,3,15,0,3,7.84,193.0,16.45,169,59,14,2.46,2.7,316.98,1.82,1.0,87.17,FIFO,Low Stock,0,2025-08-10,-0.37,78.68,Seasonal SKU,111,0,0,1,111,14.16,1,0,0
SKU0061,Pantry Product 112,Pantry,B,S008,PT Hygienic Supplies,WHSBY,Surabaya - Sidoarjo,BATCH2876,2025-06-07,2025-04-19,2027-05-16,94,198,2,25,0,0,24.13,552.0,8.21,154,57,4,4.25,4.74,842.33,3.66,7.0,79.63,FIFO,In Stock,-7,2025-08-01,5.6,69.2,Seasonal SKU,171,0,0,0,171,7.09,0,0,0
SKU0062,Personal Product 295,Personal Care,C,S007,PT Bakerindo,WHMDN,Medan - Deli Serdang,BATCH4978,2025-07-21,2025-07-15,2026-12-23,50,27,5,4,1,0,3.11,72.0,8.68,12,9,1,13.09,12.44,353.36,3.46,3.0,78.82,FEFO,In Stock,-2,2025-06-14,3.86,94.06,,18,0,0,0,18,5.79,0,0,0
SKU0063,Dairy Product 290,Dairy,A,S001,PT Segar Makmur,WHSBY,Surabaya - Sidoarjo,BATCH7071,2025-04-26,2025-04-22,2025-05-16,136,858,145,66,0,0,57.0,1.365,15.05,431,146,5,3.79,3.98,3254.05,1.99,23.0,89.18,FEFO,Expiring Soon,7,2025-09-08,5.68,76.67,,647,0,0,0,647,11.35,1,0,0
SKU0064,Household Product 55,Household,B,S007,PT Bakerindo,WHSBY,Surabaya - Sidoarjo,BATCH3506,2025-03-31,2025-03-04,2028-10-27,162,109,0,26,2,2,12.7,391.0,8.58,60,22,3,9.85,9.26,1073.2,3.5,3.0,82.34,FIFO,In Stock,1,2025-07-05,-9.58,78.74,,83,0,0,0,83,6.54,0,0,0
SKU0065,Meat Product 414,Meat,B,S009,PT Beverage Nusantara,WHMDN,Medan - Deli Serdang,BATCH5397,2025-05-13,2025-04-23,2025-05-31,119,492,58,97,0,0,33.94,954.0,14.5,365,127,7,3.64,3.77,1789.7,2.07,13.0,89.32,FIFO,Expiring Soon,2,2025-08-29,0.28,83.04,,337,0,0,1,337,9.93,1,0,0
SKU0066,Frozen Product 385,Frozen,C,S008,PT Hygienic Supplies,WHDPS,Denpasar - Tabanan,BATCH7209,2025-04-06,2025-03-16,2026-03-23,156,76,7,42,2,2,15.63,472.0,4.86,55,24,2,7.94,7.96,603.81,6.17,3.0,81.95,FIFO,In Stock,0,2025-07-08,2.04,75.7,,27,0,0,1,27,1.73,0,0,0
SKU0067,Dairy Product 109,Dairy,C,S006,PT Frozen Express,WHSBY,Surabaya - Sidoarjo,BATCH5526,2025-06-14,2025-05-10,2025-06-29,87,261,81,6,0,1,36.03,1.386,7.24,165,57,3,2.7,2.87,704.0,4.14,10.0,75.01,FIFO,Expiring Soon,3,2025-07-05,-3.5,77.24,,174,0,0,0,174,4.83,1,0,0
SKU0068,Fresh Product 369,Fresh Produce,C,S007,PT Bakerindo,WHMDN,Medan - Deli Serdang,BATCH8800,2025-04-20,2025-03-10,2025-04-26,142,271,97,65,2,2,30.28,895.0,8.95,233,82,5,1.44,1.36,391.19,3.35,14.0,95.61,FEFO,Expiring Soon,-4,2025-07-14,-9.27,92.08,,109,0,0,1,109,3.6,1,0,0
SKU0069,Fresh Product 114,Fresh Produce,C,S007,PT Bakerindo,WHBDG,Bandung - Rancaekek,BATCH7046,2025-06-23,2025-05-24,2025-07-06,78,130,26,29,3,1,13.39,377.0,9.71,27,14,1,0.75,0.72,97.88,3.09,3.0,98.71,FEFO,Expiring Soon,0,2025-07-17,-6.4,78.24,,75,0,0,0,75,5.6,1,0,0
SKU0070,Pantry Product 181,Pantry,C,S008,PT Hygienic Supplies,WHSBY,Surabaya - Sidoarjo,BATCH4777,2025-06-23,2025-06-16,2027-11-19,78,12,12,0,1,0,8.37,243.0,1.43,16,8,1,8.83,9.5,105.93,20.92,6.0,88.23,FIFO,Low Stock,0,2025-07-31,-5.96,92.99,Temperature controlled,0,0,1,1,0,0.0,0,0,0
